what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690916733
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398690916745
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398690919608
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398690919964
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690920268
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690920709
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398690923320
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690926114
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690926979
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398690926991
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398690935624
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398690935883
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690936163
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690936640
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398690938344
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398690942817
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398690945462
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398690945770
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690946061
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690946491
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690950425
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690987377
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398690990295
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398691010204
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398691012920
