what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398692040187
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398692044222
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398692044483
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692044785
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692045317
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398692046895
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692047961
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692051091
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1398692052915
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692053169
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692062977
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692066616
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692071985
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398692071999
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398692095782
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398692099638
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1398692114858
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1398692115298
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398692121690
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692126252
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692163163
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398692163173
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398692183617
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398692184009
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398692184289
