what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1398701966336
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398701975898
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398701976214
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398701976510
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398701976657
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1398701988726
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1398701990106
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1398701995301
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1398701996327
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398702001537
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398702001780
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398702002045
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398702002505
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398702005264
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398702007378
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398702011991
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398702015334
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398702022047
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398702022371
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398702022647
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398702023021
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398702036206
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398702039568
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398702055760
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398702082758
