what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398684331077
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398684334968
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398684336586
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398684337608
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398684337867
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684338151
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684338556
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398684340031
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398684344418
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398684355660
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398684366523
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684372609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684377866
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684377875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684413470
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684419709
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684449380
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1398684449409
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684449748
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684450984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684451048
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684452240
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684452250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398684453456
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398684453460
