what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1398677940794
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677947228
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677954460
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1398677956042
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677957821
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677957914
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677960154
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677960267
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677962761
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677962833
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677965580
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677966774
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398677972934
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398677973883
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398677974089
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677974376
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677975134
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1398677976957
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677977102
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677978405
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1398677981385
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1398677981423
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398677983292
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1398677983822
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398677986972
