what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398736392782
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736416848
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736472347
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736475513
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736477338
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736483585
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736487929
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1398736488716
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736495427
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736505710
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736508586
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736515511
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398736549035
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398736549408
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736549693
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736550079
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398736551831
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398736554196
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736560030
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736578187
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398736582310
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398736584430
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398736603783
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398736604044
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398736604320
