what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682150572
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682150643
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682153578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682176495
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398682211168
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398682211404
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682211683
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682211738
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682218459
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682221148
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398682223144
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398682223756
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682224048
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682224499
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398682227905
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398682228633
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1398682267433
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1398682268777
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682287431
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682311356
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398682317815
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398682318019
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682318310
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682318762
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398682320625
